Genes,Comparison1_lgc,Comparison1_FDR,Comparison2_lgc,Comparison2_FDR,Comparison3_lgc,Comparison3_FDR
ENSMUSG00000058427,-2.406701871,0.0275,-0.379016091,0.021374172,-0.415441947,0.07314771
ENSMUSG00000022074,-2.404223554,7.61E-52,0.360896988,0.05000716,-1.522285521,0.084316826
ENSMUSG00000058046,-2.403926428,2.91E-08,-0.162600208,0.00611139,-1.573967064,0.086336671
ENSMUSG00000056749,-2.402758835,1.16E-14,1.571687889,0.002426321,-0.335948218,0.084065964
ENSMUSG00000085711,-2.402102198,0.00683,1.553849325,0.01782342,-0.950988554,0.006846417
ENSMUSG00000030032,-2.397857602,0.00514,-1.345755617,0.045556941,-0.705229812,0.056652303
ENSMUSG00000031239,-2.396446535,1.38E-20,0.419628424,0.047071247,0.677544251,0.091082844
ENSMUSG00000099591,-2.395832916,0.0000229,0.532399116,0.022382568,0.296374106,0.013904064
ENSMUSG00000006724,-2.395778517,3.56E-08,-0.244865683,0.066962076,-0.729682947,0.052870452
ENSMUSG00000071073,-2.39416768,0.00115,0.870584654,0.012738351,-1.523511269,0.09017733
ENSMUSG00000028527,-2.393705108,0.000614,-1.762070759,0.001801082,-0.758216263,0.02086014
ENSMUSG00000069114,-2.390039374,1.94E-43,0.592421076,0.048206506,0.896096594,0.083812435
ENSMUSG00000064147,-2.389542981,1.69E-09,1.508714149,0.051683797,0.261052895,0.097475153
ENSMUSG00000022519,-2.386556767,1.57E-18,0.49976784,0.00404996,0.956484583,0.0334022
ENSMUSG00000084106,-2.386281309,0.00186,-0.428037649,0.089797339,-1.249662797,0.025482418
ENSMUSG00000029027,-2.384820961,2.63E-25,-1.780838589,0.098181696,-1.486048762,0.007071613
ENSMUSG00000078995,-2.384496002,5.14E-36,1.091272058,0.04626951,-1.430490155,0.031154052
ENSMUSG00000019737,-2.383979477,2.88E-15,-0.556252778,0.022266424,0.085645555,0.001107366
ENSMUSG00000028341,-2.383929337,9.24E-12,-1.54915025,0.064217048,1.860014153,0.086861192
ENSMUSG00000048895,-2.381479554,3.77E-37,-1.749511984,0.007207644,1.351839491,0.079612345
ENSMUSG00000062785,-2.380989313,5.92E-40,1.89600645,0.085768764,-1.034812212,0.070436039
ENSMUSG00000046958,-2.380265997,0.00495,1.291883106,0.066990245,-1.64766308,0.016174808
ENSMUSG00000091386,-2.378871529,0.000557,-0.886267104,0.014188169,0.14202224,0.052748365
ENSMUSG00000023902,-2.37555166,0.0148,-0.188458814,0.082380533,1.890903518,0.082418751
ENSMUSG00000047591,-2.375001082,0.00209,-0.009145548,0.05426773,1.201795505,0.055680334
ENSMUSG00000020176,-2.373842649,0.00000251,-1.171395857,0.003729855,-1.798148844,0.07047708
ENSMUSG00000106486,-2.372740425,0.037,1.134659269,0.034013754,-0.385055494,0.022325313
ENSMUSG00000005370,-2.365878701,3.78E-34,-1.44942709,0.079063986,1.783789665,0.027845658
ENSMUSG00000051790,-2.362672986,8.97E-14,-0.809264926,0.053780374,-1.899341139,0.067829218
ENSMUSG00000016179,-2.361834218,0.0001,1.474699234,0.028962642,1.522195488,0.038536011
ENSMUSG00000022389,-2.35936645,1.13E-33,0.867010378,0.022256297,1.089249695,0.030403108
ENSMUSG00000025475,-2.357269675,0.0000639,1.025669872,0.039993199,-0.669583093,0.055806546
ENSMUSG00000090306,-2.356102291,0.0301,-0.378489117,0.082134683,1.940168185,0.061058637
ENSMUSG00000026185,-2.35429619,0.0471,1.140872374,0.099302586,0.22320706,0.020907052
ENSMUSG00000051367,-2.354185216,0.0881,-1.645375035,0.054373533,-0.682589431,0.006854187
ENSMUSG00000062309,-2.353550975,0.0287,-1.537331664,0.021096653,-0.204996072,0.052875489
ENSMUSG00000091006,-2.352102706,0.0000424,-1.521895351,0.02750785,-1.629516428,0.08576759
ENSMUSG00000004113,-2.351691319,3.85E-15,-0.087151793,0.058432881,-1.859179382,0.059627003
ENSMUSG00000025364,-2.345544781,1.25E-43,-1.371559801,0.064310197,1.003781422,0.024249392
ENSMUSG00000070866,-2.342873244,0.00367,-0.851249139,0.032377628,-1.377250785,0.086240928
ENSMUSG00000034792,-2.334250756,2.76E-23,1.440358563,0.095817288,-1.290436838,0.047093273
ENSMUSG00000009246,-2.333562674,1.26E-22,-0.549253905,0.0025447,-1.146283584,0.043965922
ENSMUSG00000104217,-2.332657666,0.00708,-1.500295282,0.092560354,0.739118028,0.001755755
ENSMUSG00000031562,-2.33138854,1.33E-37,1.432274584,0.083861346,0.01025557,0.037418809
ENSMUSG00000036770,-2.328822048,0.00044,-1.349605719,0.07687093,-1.346236701,0.035919291
ENSMUSG00000032816,-2.327961064,0.0000468,-0.131935498,0.009208189,-1.693450511,0.055098367
ENSMUSG00000002346,-2.326290273,2.50E-42,-0.999880417,0.02793573,-1.981349904,0.09637145
ENSMUSG00000043243,-2.324110679,3.03E-22,0.944633003,0.060207104,0.082667378,0.076734637
ENSMUSG00000033987,-2.322348869,8.89E-12,-1.074829998,0.046390614,0.709226151,0.08496208
ENSMUSG00000022876,-2.320909413,3.15E-42,0.095074601,0.070686271,-0.437511841,0.046422844
ENSMUSG00000067220,-2.320858773,0.0000656,-0.739326644,0.061426914,-0.664529192,0.035843779
ENSMUSG00000025403,-2.320727862,3.79E-63,0.053175903,0.036006871,-1.350853544,0.010045925
ENSMUSG00000020307,-2.316935927,1.21E-34,-1.277901913,0.036866283,-1.537807407,0.068619941
ENSMUSG00000101135,-2.313758167,5.35E-13,1.549545346,0.07998394,-1.257549138,0.057378483
ENSMUSG00000070345,-2.310307755,0.0000021,0.487682457,0.080046192,-0.901052664,0.040662662
ENSMUSG00000029633,-2.310167185,0.0168,1.564813727,0.057098587,-1.430746158,0.021723022
ENSMUSG00000031452,-2.310091557,0.00000136,-1.291819333,0.035071917,-0.738588204,0.05431259
ENSMUSG00000020821,-2.306761491,1.80E-46,0.193640988,0.066646717,-0.690938251,0.001600821
ENSMUSG00000042961,-2.305306882,0.0411,1.819827472,0.084416938,-0.836920372,0.045682423
ENSMUSG00000081375,-2.301513961,0.0541,-1.744753152,0.075063191,-1.227701846,0.039344756
ENSMUSG00000045251,-2.301053486,4.60E-28,-1.224278919,0.029923751,-1.543991338,0.073285798
ENSMUSG00000036972,-2.300248235,0.0195,-1.036600731,0.004110305,0.391230836,0.007123021
ENSMUSG00000031662,-2.299127971,6.88E-47,-1.726638126,0.031985164,-0.724233953,0.016722369
ENSMUSG00000030256,-2.295399067,9.52E-32,1.76005635,0.078492453,0.271732664,0.090347448
ENSMUSG00000011154,-2.295133421,0.00722,-1.012595143,0.004096978,1.431525446,0.070252764
ENSMUSG00000029101,-2.294755291,8.56E-25,0.191235106,0.044026958,1.388906302,0.080798211
ENSMUSG00000048483,-2.294406366,0.0321,-0.997143429,0.080332364,-1.738461465,0.051814189
ENSMUSG00000031995,-2.293393503,9.63E-52,-1.494004485,0.089556782,-1.77506284,0.076501706
ENSMUSG00000061758,-2.292230734,8.01E-34,-1.050388148,0.017910299,0.920422024,0.077921731
ENSMUSG00000041954,-2.290951666,2.58E-17,-0.714954703,0.052200467,0.282459644,0.043854841
ENSMUSG00000094388,-2.289260871,0.0000128,-1.167594436,0.076854185,0.118452577,0.007934932
ENSMUSG00000096592,-2.289260871,0.0000128,0.323888069,0.003308719,0.242657455,0.072901966
ENSMUSG00000081441,-2.285121322,0.0832,-1.901148723,0.012506037,0.609856363,0.079530074
ENSMUSG00000059857,-2.280837556,0.0387,1.899503453,0.097077493,-0.108351831,0.024593426
ENSMUSG00000034227,-2.276359903,2.22E-08,0.148420021,0.074389616,-1.918634367,0.056206871
ENSMUSG00000074243,-2.273953718,0.09,-0.442836208,0.048474892,0.216403922,0.055688377
ENSMUSG00000074505,-2.2739003,0.00576,0.729622317,0.017903709,0.958298213,0.013218472
ENSMUSG00000078722,-2.27104636,0.0463,-0.046891578,0.022559153,-1.232169976,0.043024645
ENSMUSG00000041577,-2.270640895,0.0882,1.797255144,0.086610194,-1.718181506,0.091621961
ENSMUSG00000056752,-2.267966092,0.0000194,-1.887434213,0.03355477,-0.128797897,0.089579066
ENSMUSG00000051675,-2.267868589,4.12E-19,0.242822076,0.050248719,-0.69659896,0.008445211
ENSMUSG00000047415,-2.26393787,1.37E-32,-0.473971622,0.05892882,-0.878683569,0.090431575
ENSMUSG00000078154,-2.259828075,0.0031,0.802632069,0.023796979,0.115672578,0.073642083
ENSMUSG00000082865,-2.255950251,0.01,-0.710972755,0.033301196,0.537389334,0.059352479
ENSMUSG00000001576,-2.255168141,1.24E-42,-1.63965835,0.021511689,-1.304380962,0.026553869
ENSMUSG00000050132,-2.250951979,1.14E-15,-1.417152362,0.027395837,1.841658442,0.068238997
ENSMUSG00000095663,-2.250668588,0.0279,-0.506005126,0.057402843,0.318206715,0.098721835
ENSMUSG00000026940,-2.249845782,0.00798,0.988064434,0.021408896,-0.754942868,0.05597453
ENSMUSG00000021298,-2.249328453,1.67E-37,-0.572926977,0.076326599,0.4018705,0.05746811
ENSMUSG00000006411,-2.247182536,1.35E-14,1.933073574,0.086477387,1.379391486,0.043519589
ENSMUSG00000079018,-2.246128003,0.000000822,1.655349023,0.067993381,-0.447836007,0.095787345
ENSMUSG00000025656,-2.245531275,1.85E-15,0.497477728,0.006224387,0.285865484,0.088196886
ENSMUSG00000036718,-2.244854486,3.51E-14,0.744653591,0.018928142,-1.139571014,0.072798139
ENSMUSG00000022865,-2.243090609,1.91E-14,0.654629884,0.090420424,-0.635540081,0.004768122
ENSMUSG00000058019,-2.241768521,0.00904,-0.849148561,0.095569451,-0.449862676,0.052826897
ENSMUSG00000021186,-2.238773885,0.00858,-1.828170046,0.084906532,-1.945325126,0.065518386
ENSMUSG00000027762,-2.237053687,0.00418,1.345416813,0.023295752,-1.298996,0.045287157
ENSMUSG00000000248,-2.229053056,9.48E-77,1.222636074,0.089503054,0.72829031,0.080237473
ENSMUSG00000013338,-2.228680731,0.04,0.780167682,0.075182628,-1.262368092,0.039775582
ENSMUSG00000099423,-2.226756898,4.57E-10,1.575353441,0.023831692,-1.860462331,0.032866119
ENSMUSG00000027408,-2.225512273,0.000365,0.405101016,0.06012154,-0.914615808,0.062162107
ENSMUSG00000035934,-2.22451685,0.083,-0.761899221,0.082354746,1.674714054,0.066395281
ENSMUSG00000074673,-2.224233004,3.88E-20,0.047319682,0.089931252,-1.606483299,0.030944811
ENSMUSG00000040896,-2.223600973,0.00966,-0.437341499,0.057265162,1.763421223,0.09978689
ENSMUSG00000071691,-2.223381326,0.0000376,0.856102809,0.028143729,-1.76114892,0.094782091
ENSMUSG00000082321,-2.22333726,0.00000365,-1.000717248,0.09081015,-0.867705716,0.009893204
ENSMUSG00000051978,-2.222446316,1.22E-87,-1.829234293,0.030108765,-1.149095497,0.072677573
ENSMUSG00000036264,-2.219407805,0.000348,-1.820049337,0.026285337,1.810538098,0.011338425
ENSMUSG00000048445,-2.218558537,9.60E-11,1.888134264,0.030070143,1.374045882,0.093731347
ENSMUSG00000007122,-2.214785761,0.00084,-1.287805143,0.006094726,-0.726464467,0.049981622
ENSMUSG00000035818,-2.212534806,0.0103,-1.607158026,0.072028093,0.030596861,0.07393509
ENSMUSG00000024301,-2.210017627,4.23E-18,-1.227585634,0.067409812,-1.631157307,0.093775861
ENSMUSG00000074252,-2.207287723,0.00966,-1.017748736,0.054085882,-1.969388256,0.056922926
ENSMUSG00000000552,-2.205215491,2.56E-18,1.187696332,0.051383305,1.796377546,0.020137197
ENSMUSG00000081984,-2.203045942,0.000342,1.619781011,0.088617018,1.747916993,0.005695582
ENSMUSG00000030606,-2.201628476,0.0107,-0.357236585,0.0214064,1.383345432,0.02074459
ENSMUSG00000061833,-2.200364889,0.00201,-0.512132378,0.061315318,1.716750421,0.002991154
ENSMUSG00000089817,-2.199072749,0.00331,1.848483872,0.068574468,0.493152368,0.005707391
ENSMUSG00000042010,-2.197093786,5.89E-08,-1.750964717,0.089037697,1.990967469,0.089898612
ENSMUSG00000032511,-2.194866188,0.00342,-1.149456511,0.005505054,-0.064333948,0.092513916
ENSMUSG00000032384,-2.194810257,2.22E-65,-0.683188978,0.039493488,-1.062424396,0.041874937
ENSMUSG00000035983,-2.19243164,2.53E-13,-0.582657532,0.072417415,-1.488057191,0.079288118
ENSMUSG00000037426,-2.192232353,1.71E-41,-0.061198476,0.070239411,-1.261328409,0.085069526
ENSMUSG00000031376,-2.190571635,0.0748,1.987272186,0.00175732,-1.823504473,0.008483797
ENSMUSG00000027932,-2.187866122,3.06E-10,-1.903800481,0.044120369,0.310580957,0.02957671
ENSMUSG00000081943,-2.187086743,0.0317,-0.062166779,0.006232148,-0.308380502,0.059154386
ENSMUSG00000027230,-2.184806247,0.000000594,-0.460785347,0.03855888,-0.107574853,0.054038774
ENSMUSG00000001131,-2.184171887,0.0152,0.574633144,0.019213359,1.631522227,0.059091685
ENSMUSG00000105028,-2.179023835,0.00684,-1.876664609,0.066052685,1.888132538,0.053983226
ENSMUSG00000028069,-2.178982498,2.89E-102,0.315466913,0.012087231,0.936866316,0.076099141
ENSMUSG00000031963,-2.177680434,0.0373,-1.760918684,0.042963796,-0.864981106,0.050984351
ENSMUSG00000027610,-2.176911468,3.37E-27,0.637614639,0.004446722,-0.23328251,0.059908331
ENSMUSG00000006732,-2.17627886,1.53E-40,1.693558032,0.069225483,-0.239726538,0.072638563
ENSMUSG00000068740,-2.171607948,1.55E-12,-0.398715878,0.009613639,0.837932273,0.085969752
ENSMUSG00000044405,-2.17149482,0.03,-0.33178657,0.064920548,1.374375339,0.073550741
ENSMUSG00000020695,-2.170695736,0.000203,-1.227161011,0.08320788,-1.669756538,0.08035558
ENSMUSG00000081094,-2.170209527,0.0102,0.204292713,0.047954719,0.81016178,0.045032413
ENSMUSG00000025129,-2.168602524,0.000266,-0.074328334,0.039292053,-0.743594616,0.056445067
ENSMUSG00000022237,-2.166209285,1.73E-29,0.199644921,0.053323679,-1.263591229,0.040391084
ENSMUSG00000087123,-2.16468361,0.0241,-0.482581412,0.099534917,0.132715275,0.059380036
ENSMUSG00000107425,-2.163435731,1.68E-15,1.017680123,0.036604686,0.506410748,0.088704274
ENSMUSG00000022843,-2.16263321,2.42E-23,1.792904254,0.026335853,-0.888883706,0.071847593
ENSMUSG00000027324,-2.162590189,2.78E-38,0.535817431,0.049047938,0.00712662,0.06521972
ENSMUSG00000083364,-2.161953222,7.02E-20,-0.350310441,0.047977793,-1.719704944,0.0937646
ENSMUSG00000060716,-2.160663219,4.43E-19,1.112363367,0.081930086,1.595638336,0.050410699
ENSMUSG00000041608,-2.160191562,0.00649,-1.552472589,0.035576021,1.912556668,0.096160234
ENSMUSG00000051435,-2.159568828,0.00292,-0.77046662,0.078949745,1.830288424,0.09353046
ENSMUSG00000066270,-2.158565973,0.0683,-1.554639611,0.085472545,1.388089229,0.034897167
ENSMUSG00000023971,-2.155038645,9.07E-38,-1.879101076,0.078757297,-1.196800833,0.069826911
ENSMUSG00000083585,-2.152464908,0.000836,-1.231074387,0.059338006,0.996577992,0.039749892
ENSMUSG00000094501,-2.150548099,0.013,0.170901997,0.060236471,-1.085043086,0.091151808
ENSMUSG00000025592,-2.146539632,2.40E-11,1.302323139,0.036053919,-0.946250376,0.070208518
ENSMUSG00000031150,-2.140441299,0.00979,-0.048306052,0.092978893,-1.868825605,0.042162543
ENSMUSG00000033386,-2.139950671,6.20E-35,1.179804291,0.077227139,-0.29536775,0.002562317
ENSMUSG00000084838,-2.139842808,0.0154,0.192451086,0.078733613,-1.226217181,0.038943379
ENSMUSG00000045053,-2.139608884,0.00267,0.727978013,0.063361021,1.099590247,0.090420465
ENSMUSG00000035049,-2.139067621,6.60E-65,-1.549835064,0.063340897,-0.266066528,0.008671336
ENSMUSG00000042487,-2.138680578,2.84E-58,0.143784897,0.026450262,0.018090383,0.025919381
ENSMUSG00000060180,-2.134540406,0.097,-0.051776698,0.03956799,1.556373567,0.089759194
ENSMUSG00000067356,-2.132384382,0.00000214,0.416830884,0.046494966,0.902314099,0.072212877
ENSMUSG00000071226,-2.132135314,5.00E-18,-1.200028689,0.034778808,-1.910178419,0.036606033
ENSMUSG00000083397,-2.130424701,1.23E-11,-0.809795051,0.062854167,0.878515355,0.071678544
ENSMUSG00000044162,-2.127496482,1.68E-17,1.563675397,0.03493147,1.285063798,0.039876271
ENSMUSG00000028794,-2.125531643,0.000000128,1.843525909,0.007064269,0.250443517,0.094135097
ENSMUSG00000023047,-2.125160173,0.0000104,0.361858965,0.05892909,-0.946146805,0.04821004
ENSMUSG00000053553,-2.123021504,8.87E-46,0.070496252,0.054142605,-1.393113608,0.084518041
ENSMUSG00000099703,-2.122750109,3.67E-21,0.517269533,0.066107325,-0.562933815,0.086894947
ENSMUSG00000009941,-2.120393437,0.00639,-1.125433123,0.026101673,-0.144556686,0.088197663
ENSMUSG00000058420,-2.117437704,0.00000742,0.906279862,0.074206328,-0.846112462,0.035994337
ENSMUSG00000099974,-2.11435212,2.74E-20,-1.791802313,0.03674618,-1.452945123,0.007226144
ENSMUSG00000027472,-2.112312257,1.39E-23,-0.521254681,0.059402745,1.398050816,0.016882058
ENSMUSG00000108370,-2.111121986,0.000117,0.977850467,0.017786221,-0.697141737,0.078560953
ENSMUSG00000022682,-2.111067342,6.06E-34,-0.639328823,0.019093053,-1.73980702,0.06397317
ENSMUSG00000050248,-2.108155348,0.00449,-1.454286865,0.094270825,-1.433825856,0.010388253
ENSMUSG00000091228,-2.108015789,1.31E-14,0.295858118,0.020335582,-0.044409068,0.016818314
ENSMUSG00000068579,-2.105282254,0.0433,-0.173670846,0.030638873,1.538242599,0.073640717
ENSMUSG00000023333,-2.103498732,0.0000212,-1.321818835,0.074954808,1.550833605,0.00585339
ENSMUSG00000042510,-2.103460485,0.000264,-1.612800177,0.078405017,-1.975074672,0.071230507
ENSMUSG00000037788,-2.102933304,5.63E-48,-1.224424812,0.020110326,0.10879743,0.005038494
ENSMUSG00000089978,-2.10189566,0.00104,-0.734824273,0.073121306,-1.504725695,0.031217884
ENSMUSG00000025576,-2.100741563,0.0615,-1.815818623,0.038274795,1.307678867,0.032106757
ENSMUSG00000049916,-2.099718722,1.56E-20,-1.250517026,0.038346288,-1.307749438,0.096354615
ENSMUSG00000002319,-2.098318235,3.55E-49,-0.7817821,0.043803161,-1.985688656,0.028295117
ENSMUSG00000028222,-2.092792376,0.0000339,-0.198017041,0.087268071,-1.791576213,0.05312294
ENSMUSG00000004891,-2.089137393,0.00118,1.233915574,0.081206789,-0.066271424,0.011954527
ENSMUSG00000035394,-2.088857433,7.75E-12,-1.045294792,0.081127342,-0.330200419,0.089991803
ENSMUSG00000040957,-2.088411267,0.0000015,0.737633914,0.029123015,-1.764734767,0.070338879
ENSMUSG00000081881,-2.087941999,0.0408,-1.774807485,0.0896106,-0.809084109,0.02749391
ENSMUSG00000021278,-2.086526676,0.000000214,0.640476597,0.037084704,1.421779722,0.095187673
ENSMUSG00000026558,-2.086294785,2.27E-39,-1.453536238,0.010937206,0.195420249,0.090936538
ENSMUSG00000083410,-2.08610824,1.33E-23,-1.52818354,0.023480429,1.89630004,0.057634138
ENSMUSG00000021286,-2.085956463,3.91E-15,-0.869695059,0.086265892,0.836856143,0.044345153
ENSMUSG00000075229,-2.083454302,2.11E-35,0.540708587,0.075405644,-0.343441149,0.099170247
ENSMUSG00000020224,-2.083427104,4.75E-73,-0.368482638,0.075554355,-1.385828911,0.007277829
ENSMUSG00000041347,-2.082779769,0.0000492,-0.801064209,0.068940238,0.367000236,0.018096842
ENSMUSG00000024727,-2.081223088,0.00958,-0.771400704,0.087492988,0.187941987,0.072442411
ENSMUSG00000000037,-2.078133885,0.000558,0.334932409,0.089421283,1.165543054,0.002256427
ENSMUSG00000020723,-2.075653052,0.0000379,-1.421500824,0.049637703,-1.325697557,0.093685723
ENSMUSG00000014444,-2.074235937,1.93E-50,-0.543936793,0.04488347,-0.227067555,0.057775
ENSMUSG00000066007,-2.074204838,0.00634,1.939247245,0.011527202,0.858924838,0.09520146
ENSMUSG00000082935,-2.073465491,0.000000832,-0.998991433,0.070950651,-0.449966481,0.053017938
ENSMUSG00000056612,-2.073404488,1.47E-36,-0.410795448,0.06891572,-1.644264177,0.034102313
ENSMUSG00000027273,-2.071535726,0.00107,-0.109739099,0.085172463,1.583591097,0.02165644
ENSMUSG00000021997,-2.071291709,0.00012,0.399569961,0.022997748,-1.925436735,0.025633503
ENSMUSG00000022962,-2.07023639,2.64E-32,1.186958819,0.022615446,1.760166723,0.043675446
ENSMUSG00000027654,-2.065944882,0.00000134,1.874725496,0.078083336,1.254914341,0.029316268
ENSMUSG00000018566,-2.065393484,0.0107,1.35361206,0.011827083,-1.137557415,0.064389554
ENSMUSG00000026301,-2.063908703,0.0469,-0.919292657,0.0437509,-0.838467606,0.077053711
ENSMUSG00000022263,-2.062947832,5.53E-35,0.061497475,0.092272717,0.70977764,0.098343741
ENSMUSG00000022122,-2.061961513,0.000141,-0.312509532,0.089311103,0.622755097,0.048948602
ENSMUSG00000092048,-2.061599381,0.0687,-0.137345204,0.028389316,-1.979602337,0.088456181
ENSMUSG00000020527,-2.061129969,1.20E-41,1.20905601,0.09197364,1.389790665,0.081740337
ENSMUSG00000041468,-2.060368245,0.0237,-1.892803568,0.048530834,1.060832365,0.060928089
ENSMUSG00000020214,-2.059595214,0.0173,-1.824874146,0.032987698,1.62860223,0.089445014
ENSMUSG00000020601,-2.058305215,1.59E-22,-1.252219388,0.047904361,-0.199950575,0.056799282
ENSMUSG00000037243,-2.054534587,1.81E-20,0.209762899,0.061141691,-0.636776232,0.082411997
ENSMUSG00000068457,-2.054340545,1.16E-08,-1.732939948,0.03503481,0.053328498,0.014593228
ENSMUSG00000042558,-2.052094527,4.31E-24,1.397027745,0.05963282,0.20693706,0.010908256
ENSMUSG00000041215,-2.050488252,4.68E-36,1.315789439,0.016840412,-0.028759828,0.056718452
ENSMUSG00000029029,-2.049341242,9.02E-17,-1.404089921,0.020204154,1.45645035,0.040733078
ENSMUSG00000029521,-2.04880782,1.97E-20,0.015834021,0.016624933,1.716302702,0.06944058
ENSMUSG00000023034,-2.048448722,1.24E-10,1.448357133,0.027321141,-0.99698374,0.067678933
ENSMUSG00000025482,-2.048010328,0.00105,-1.305795562,0.067957232,0.445635736,0.004658276
ENSMUSG00000032105,-2.047368757,0.00694,-0.523027402,0.082045628,1.303881777,0.068273499
ENSMUSG00000039239,-2.04533378,0.00000343,-1.002482122,0.05640845,1.086512872,0.051659093
ENSMUSG00000021453,-2.044265733,6.31E-40,-1.507035771,0.087883317,1.530346625,0.034215231
ENSMUSG00000043549,-2.042719753,0.00528,1.970708504,0.00544316,1.325200139,0.023226329
ENSMUSG00000028521,-2.037904546,1.23E-57,0.365021987,0.087728906,0.547210662,0.093369346
ENSMUSG00000044465,-2.036380144,8.25E-37,-1.046929509,0.079187983,-0.534162497,0.058274473
ENSMUSG00000097612,-2.035280413,0.000143,-1.788616701,0.002754817,-0.308881041,0.097590177
ENSMUSG00000099418,-2.034555496,0.00248,0.925360082,0.038128747,1.347578122,0.007167188
ENSMUSG00000030638,-2.031672447,0.06,1.076579326,0.063407328,1.127465074,0.059454971
ENSMUSG00000039813,-2.029183604,3.52E-12,-0.527560421,0.072935266,-0.142532181,0.065857347
ENSMUSG00000031790,-2.027885554,0.000168,0.236661211,0.034291753,-1.278561339,0.024055822
ENSMUSG00000058486,-2.02757517,4.05E-26,1.387908345,0.009158373,0.260681538,0.082331508
ENSMUSG00000001305,-2.026673443,7.64E-37,1.200706876,0.053709159,1.423823633,0.025335816
ENSMUSG00000026175,-2.02576587,0.00005,1.014612536,0.088151069,0.994353268,0.038735784
ENSMUSG00000083771,-2.022789229,0.0000135,0.907178007,0.020843949,1.283630363,0.029521641
ENSMUSG00000021359,-2.020414299,0.00000281,0.884023384,0.038790259,1.685487494,0.025227168
ENSMUSG00000020250,-2.019297224,2.27E-42,-1.687888621,0.01400256,-0.371620257,0.04214027
ENSMUSG00000078984,-2.018726264,0.000219,1.784899292,0.064846617,-1.64071507,0.071094609
ENSMUSG00000018334,-2.017386093,2.19E-69,0.416815143,0.005557653,0.011536734,0.067015943
ENSMUSG00000031666,-2.016336263,6.24E-48,0.240735163,0.089848263,-1.546764832,0.031612559
ENSMUSG00000040997,-2.016211947,8.77E-23,-0.263303685,0.094509898,0.47652634,0.042710273
ENSMUSG00000049630,-2.015145569,0.0661,1.673758692,0.017257384,1.061296772,0.003692517
ENSMUSG00000073879,-2.014010789,0.00905,1.166222165,0.009069507,-0.565164275,0.074798746
ENSMUSG00000082828,-2.013215998,0.0000284,0.308378002,0.002112616,-0.686862695,0.019063234
ENSMUSG00000082861,-2.012765285,0.000103,-1.594862418,0.002418078,0.147694528,0.021824977
ENSMUSG00000063873,-2.012075418,0.0288,-1.931909626,0.08503945,-0.122125141,0.055788861
ENSMUSG00000032278,-2.01207287,2.80E-17,0.91014111,0.078129575,0.474893984,0.035176363
ENSMUSG00000081343,-2.011663361,3.17E-10,-0.019252975,0.040534807,-0.657404601,0.024716195
ENSMUSG00000100981,-2.011154368,0.000858,1.51644394,0.014374945,1.283119945,0.072241155
ENSMUSG00000071657,-2.006928539,2.11E-24,-1.741732211,0.082630536,0.001426926,0.037825703
ENSMUSG00000072949,-2.006476292,0.000000197,-1.256293029,0.0957788,1.952343384,0.084853151
ENSMUSG00000107877,-2.005966802,1.10E-15,1.238770673,0.06335104,-0.355523824,0.089431206
ENSMUSG00000028990,-2.003101337,1.34E-21,-1.992089408,0.059008278,0.643034891,0.045238272
ENSMUSG00000026357,-2.001997489,1.02E-20,-0.459241385,0.047564832,0.999282994,0.098004957
ENSMUSG00000072437,-2.001792172,1.39E-15,-1.879466971,0.037209438,0.939405058,0.041617358
ENSMUSG00000044816,-2.001005151,3.72E-10,-0.055776951,0.026719348,-1.030854747,0.097121088
ENSMUSG00000003824,-2.000393226,6.85E-23,-0.020841272,0.056803204,0.364427375,0.009918578
ENSMUSG00000027208,-1.997561839,0.000345,-0.367244085,0.059991453,0.15242006,0.033636875
ENSMUSG00000025730,-1.997128346,2.10E-19,1.907805185,0.059347108,0.870261914,0.046833022
ENSMUSG00000027361,-1.995004576,5.32E-82,-1.487946062,0.048294311,-0.764457794,0.041928588
ENSMUSG00000058589,-1.994541769,0.0000491,0.838418805,0.083473058,0.275902848,0.007581385
ENSMUSG00000045662,-1.994065056,0.0179,-1.88794405,0.027127381,0.719722275,0.097766269
ENSMUSG00000022325,-1.993081879,1.51E-26,0.296902634,0.042807936,1.053248674,0.010529578
ENSMUSG00000027584,-1.992711862,0.0000328,1.989835036,0.081337617,-0.709534535,0.0944776
ENSMUSG00000083161,-1.991522741,1.79E-42,-0.335261112,0.001824922,0.476824282,0.017746732
ENSMUSG00000022790,-1.990126871,0.000000822,1.316076004,0.026631777,-1.71983004,0.037481
ENSMUSG00000004100,-1.990001492,5.07E-69,-0.374312562,0.000770647,-0.850946372,0.081766266
ENSMUSG00000022286,-1.989601052,0.0956,0.412900303,0.024688938,1.867400587,0.010932963
ENSMUSG00000035960,-1.986253765,6.10E-28,1.572305556,0.099506224,-1.059613405,0.055704532
ENSMUSG00000039680,-1.984122042,8.95E-19,0.914996058,0.066183964,0.530429892,0.07667201
ENSMUSG00000037536,-1.981642826,9.47E-36,-1.663470886,0.007010715,-1.487568544,0.016016193
ENSMUSG00000002930,-1.981544859,0.0167,0.992971385,0.025539783,-1.154541095,0.09658232
ENSMUSG00000103766,-1.980909814,0.00651,1.397708625,0.097846892,-0.123428322,0.037541536
ENSMUSG00000037621,-1.980782357,0.0358,-1.834257951,0.078380077,-1.0865102,0.017575606
ENSMUSG00000039529,-1.980375328,0.0084,-1.919818907,0.068190574,-1.849150336,0.056281872
